Question,Answer,Feedback,User Query,Chatbot Answer
,,,list schemes,Here's some information that might help you out!
,,,list schemes for women,"Scheme Name: national scholarship
Eligibility: both
Benefits: Financial aid for education
Age Group: 12-25
Website: http://example.com/scholar

Scheme Name: pm awa yojana
Eligibility: economically weak
Benefits: Housing for the poor
Age Group: 18+
Website: http://example.com/awas

Scheme Name: beti bachao beti padhao
Eligibility: girl
Benefits: Awareness and education for girls
Age Group: All
Website: http://example.com/bbbp

Scheme Name: pradhan mantri awa yojana urban
Eligibility: urban poor
Benefits: Affordable housing
Age Group: 18+
Website: http://example.com/pmayurban

Scheme Name: pradhan mantri vaya vandana yojana
Eligibility: senior
Benefits: Pension scheme for seniors
Age Group: 60+
Website: http://example.com/vv

Scheme Name: rural housing scheme
Eligibility: rural poor
Benefits: Housing for rural families
Age Group: 18+
Website: http://example.com/rural-housing

Scheme Name: pradhan mantri awa yojana gramin
Eligibility: rural poor
Benefits: Housing for rural families
Age Group: 18+
Website: http://example.com/pmay-gramin

Scheme Name: jal jeevan mission
Eligibility: all
Benefits: Tap water supply for households
Age Group: All
Website: http://example.com/jaljeevan

Scheme Name: mahatma gandhi sarbat sehat bima yojana
Eligibility: all
Benefits: Health insurance for all
Age Group: All
Website: http://example.com/mgsb

Scheme Name: atmanirbhar bharat
Eligibility: all
Benefits: Support for local businesses
Age Group: All
Website: http://example.com/atma

Scheme Name: deen dayal upadhyaya grameen kaushalya yojana
Eligibility: rural youth
Benefits: Skill training for rural youth
Age Group: 18-35
Website: http://example.com/ddugky

Scheme Name: pradhan mantri awa yojana housing for all
Eligibility: all
Benefits: Affordable housing for all
Age Group: 18+
Website: http://example.com/housingforall

Scheme Name: sukanya samriddhi yojana
Eligibility: girl
Benefits: Financial scheme for girls
Age Group: 0-18
Website: http://example.com/sukanya

Scheme Name: pradhan mantri kisan mandhan yojana
Eligibility: farmer
Benefits: Pension scheme for farmers
Age Group: 60+
Website: http://example.com/pmkmy

Scheme Name: national rural livelihood mission
Eligibility: rural family
Benefits: Livelihood support for rural families
Age Group: 18+
Website: http://example.com/nrlm

Scheme Name: national agriculture market
Eligibility: farmer
Benefits: Online agricultural trading platform
Age Group: 18+
Website: http://example.com/nam

Scheme Name: pradhan mantri mudra yojana
Eligibility: all
Benefits: Loan scheme for small businesses
Age Group: All
Website: http://example.com/mudra

Scheme Name: national mission for clean ganga
Eligibility: all
Benefits: Cleaning the Ganga river
Age Group: All
Website: http://example.com/nmcg

Scheme Name: national clean energy fund
Eligibility: all
Benefits: Support for clean energy projects
Age Group: All
Website: http://example.com/ncef

"
,,,list schemes for women ahe between 25 -35,"Scheme Name: national scholarship
Eligibility: both
Benefits: Financial aid for education
Age Group: 12-25
Website: http://example.com/scholar

Scheme Name: pm awa yojana
Eligibility: economically weak
Benefits: Housing for the poor
Age Group: 18+
Website: http://example.com/awas

Scheme Name: skill india mission
Eligibility: youth
Benefits: Skill training programs
Age Group: 18-35
Website: http://example.com/skillindia

Scheme Name: beti bachao beti padhao
Eligibility: girl
Benefits: Awareness and education for girls
Age Group: All
Website: http://example.com/bbbp

Scheme Name: pradhan mantri awa yojana urban
Eligibility: urban poor
Benefits: Affordable housing
Age Group: 18+
Website: http://example.com/pmayurban

Scheme Name: rural skill development scheme
Eligibility: rural youth
Benefits: Skill training
Age Group: 18-35
Website: http://example.com/rural-skill

Scheme Name: pradhan mantri vaya vandana yojana
Eligibility: senior
Benefits: Pension scheme for seniors
Age Group: 60+
Website: http://example.com/vv

Scheme Name: rural housing scheme
Eligibility: rural poor
Benefits: Housing for rural families
Age Group: 18+
Website: http://example.com/rural-housing

Scheme Name: pradhan mantri awa yojana gramin
Eligibility: rural poor
Benefits: Housing for rural families
Age Group: 18+
Website: http://example.com/pmay-gramin

Scheme Name: jal jeevan mission
Eligibility: all
Benefits: Tap water supply for households
Age Group: All
Website: http://example.com/jaljeevan

Scheme Name: mahatma gandhi sarbat sehat bima yojana
Eligibility: all
Benefits: Health insurance for all
Age Group: All
Website: http://example.com/mgsb

Scheme Name: atmanirbhar bharat
Eligibility: all
Benefits: Support for local businesses
Age Group: All
Website: http://example.com/atma

Scheme Name: deen dayal upadhyaya grameen kaushalya yojana
Eligibility: rural youth
Benefits: Skill training for rural youth
Age Group: 18-35
Website: http://example.com/ddugky

Scheme Name: pradhan mantri awa yojana housing for all
Eligibility: all
Benefits: Affordable housing for all
Age Group: 18+
Website: http://example.com/housingforall

Scheme Name: sukanya samriddhi yojana
Eligibility: girl
Benefits: Financial scheme for girls
Age Group: 0-18
Website: http://example.com/sukanya

Scheme Name: pradhan mantri kisan mandhan yojana
Eligibility: farmer
Benefits: Pension scheme for farmers
Age Group: 60+
Website: http://example.com/pmkmy

Scheme Name: national rural livelihood mission
Eligibility: rural family
Benefits: Livelihood support for rural families
Age Group: 18+
Website: http://example.com/nrlm

Scheme Name: national agriculture market
Eligibility: farmer
Benefits: Online agricultural trading platform
Age Group: 18+
Website: http://example.com/nam

Scheme Name: pradhan mantri mudra yojana
Eligibility: all
Benefits: Loan scheme for small businesses
Age Group: All
Website: http://example.com/mudra

Scheme Name: integrate skill development scheme
Eligibility: youth
Benefits: Skill training in various sectors
Age Group: 18-35
Website: http://example.com/isds

Scheme Name: national mission for clean ganga
Eligibility: all
Benefits: Cleaning the Ganga river
Age Group: All
Website: http://example.com/nmcg

Scheme Name: skill development initiative scheme
Eligibility: youth
Benefits: Skill development programs
Age Group: 18-35
Website: http://example.com/sdis

Scheme Name: national clean energy fund
Eligibility: all
Benefits: Support for clean energy projects
Age Group: All
Website: http://example.com/ncef

"
,,,list schemes for women ahe between 25 -35,"I'm sorry, I couldn't find any relevant information right now. Could you clarify your question?"
,,,list schemes for women,"I'm sorry, I couldn't find any relevant information right now. Could you clarify your question?"
,,,what are the schemes that women can apply for,"I'm sorry, I couldn't find any relevant information right now. Could you clarify your question?"
,,,list the schemes for women,I
,,,list the schemes for women,'
,,,list the schemes for women,m
,,,list the schemes for women, 
